,Date,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24
0,2022-01-01,6897187.17,6736317.93,6570547.19,6393690.16,6274671.97,6165748.15,5788415.17,5828724.15,6058408.38,6323203.93,6541366.88,6757013.34,6919030.78,6952771.48,6922864.47,6847545.92,6801357.88,6849130.34,7667241.99,7878393.82,7769417.39,7575119.25,7289069.86,6962904.32
1,2022-01-02,6646771.45,6373053.52,6241670.21,6135556.28,6089570.26,6112664.21,5928867.56,6168350.97,6550379.46,6852612.91,7167533.2,7421194.75,7558375.14,7578109.84,7518216.53,7449733.83,7386431.75,7453287.12,8289848.74,8467163.17,8342641.13,8098823.91,7779454.34,7366404.81
2,2022-01-03,6973351.69,6724609.26,6565908.17,6478238.3,6543986.04,6715408.43,6826851.22,7336042.09,7844320.34,8145976.43,8474726.53,8787001.31,8886427.87,8962243.69,9038535.93,9020252.57,8828752.14,8660298.29,9361404.91,9473471.04,9246105.16,8829838.22,8286847.14,7740020.46
3,2022-01-04,7346925.38,7074519.94,6856727.76,6771657.3,6819689.65,7025590.36,7146939.88,7665686.73,8172492.0,8486599.92,8771671.8,9077987.35,9084632.56,9155491.07,9237532.38,9212925.23,9037631.85,8819348.89,9496663.64,9600422.23,9303354.79,8884599.26,8304846.68,7754981.04
4,2022-01-05,7356582.05,7050673.87,6906448.25,6812581.29,6897281.13,7060571.17,7205242.14,7649200.07,8175472.06,8491643.83,8863502.85,9114034.53,9095644.55,9084602.02,9202851.17,9265107.74,9104052.43,8967457.53,9613067.83,9709922.39,9419672.69,9003097.04,8424584.13,7874083.42
5,2022-01-06,7408979.82,7135863.87,6984071.48,6894383.22,6974960.03,7131856.91,7262676.35,7748125.08,8264298.63,8574023.34,8897854.68,9167611.1,9212574.25,9247939.34,9249925.0,9261233.99,9150071.98,8996125.65,9621576.57,9684458.84,9387838.55,8939611.08,8394597.93,7844843.08
6,2022-01-07,7458191.19,7133272.65,7004587.16,6916483.86,6983837.5,7160664.48,7296948.33,7815372.48,8308177.71,8659232.64,8982357.48,9246676.5,9304670.51,9309157.82,9374866.05,9335388.17,9158727.06,8978189.15,9624358.45,9689453.54,9429691.57,9004459.87,8467937.26,7948565.53
7,2022-01-08,7538319.37,7258233.16,7079838.58,6977222.12,6981528.76,7055322.97,7103813.5,7544009.15,8037511.91,8388840.94,8726961.17,8973763.7,8999686.34,8917366.64,8776606.9,8680617.7,8569651.32,8573652.27,9248431.98,9365275.01,9097308.73,8685962.6,8192118.68,7732185.19
8,2022-01-09,7358388.91,7053265.7,6859787.33,6719577.85,6671990.77,6645448.88,6447016.15,6719133.9,7082388.87,7402946.27,7665797.27,7907668.86,8031934.07,7995610.6,7886283.44,7781735.48,7700554.12,7691683.03,8471394.66,8692358.49,8494324.25,8198647.65,7827393.71,7462239.48
9,2022-01-10,7094468.53,6826748.89,6623626.09,6514267.2,6504172.8,6528825.62,6412901.57,6714951.69,7125558.93,7472327.08,7803159.55,8109257.17,8214023.31,8146466.79,8050729.19,7981875.52,7886089.42,7944630.6,8767947.03,8913521.79,8717577.3,8347627.32,7949767.51,7522405.88
10,2022-01-11,7147863.76,6914740.31,6766607.69,6900080.14,6824096.99,7065831.21,7286878.35,8084822.25,8426297.93,8692230.33,8962337.12,9177722.36,9207154.84,9199433.7,9267033.61,9232556.27,9074704.27,8896087.77,9509332.65,9630238.14,9383385.27,8946816.77,8380038.68,7768325.87
11,2022-01-12,7498834.05,7409641.16,7227262.07,7049498.36,7028755.81,7196399.11,7505053.02,7961553.91,8459550.34,9092352.29,9121824.2,9407543.99,9395435.38,9381240.49,9484152.69,9425503.87,9308579.25,9091494.61,9676593.98,9815013.06,9552274.27,9082130.88,8495816.1,7889096.88
12,2022-01-13,7444889.52,7181658.84,6993544.8,6923291.25,7044786.49,7275830.54,7516799.04,8097299.81,8837165.51,9256651.55,9594661.92,9854165.91,9872510.1,9830064.88,9927394.62,9880488.79,9749351.34,9578229.1,10019501.68,10023429.09,9835800.71,9339460.61,8706773.81,8172755.41
13,2022-01-14,7480859.62,7389380.75,7185193.63,7116090.03,7038991.75,7282973.32,7560886.95,8110485.26,8896255.41,9239906.8,9493029.18,9609894.94,9730031.34,9548919.55,9626661.81,9614298.98,9437442.41,9414822.15,9678109.08,9774159.84,9516672.28,9080043.51,8550304.07,7961633.57
14,2022-01-15,7470954.55,7192329.65,7024548.44,6943148.0,6986315.5,7114429.7,7236979.31,7701588.74,8173655.31,8544732.13,8869782.69,9140210.45,9104135.15,8957384.17,8883183.21,8780758.12,8654051.29,8583360.48,9302993.95,9460413.57,9168748.53,8699414.49,8186839.71,7724277.52
